Trial,Target,0,1,2,3,4,5,6
496,2,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/jack_hammer_04.wav,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/female_6160-44912-0007.flac,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/street_music_01.wav,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/jack_hammer_02.wav
497,1,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male_816-53638-0002.flac,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/sirens_03.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/children_playing_01.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/street_music_02.wav,NONE
498,4,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/jack_hammer_01.wav,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/sirens_02.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/female_3094-136458-0049.flac,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/street_music_03.wav,NONE
499,5,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/sirens_03.wav,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/street_music_01.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/sirens_01.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male_3869-700-0023.flac,NONE
500,3,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_04.wav,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male_5448-19209-0015.flac,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/sirens_01.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/children_playing_03.wav,NONE
501,1,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/children_playing_04.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male_816-53638-0002.flac,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_02.wav,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/street_music_01.wav
502,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/female_4770-25951-0016.flac,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_01.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/children_playing_02.wav,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/sirens_01.wav
503,6,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/children_playing_02.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/sirens_04.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/jack_hammer_03.wav,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male_816-53638-0002.flac
504,2,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/jack_hammer_02.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/children_playing_04.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male_3869-700-0023.flac,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_04.wav
505,4,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/sirens_04.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/children_playing_03.wav,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/street_music_02.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male_816-53638-0002.flac,NONE,NONE
