Trial,Target,0,1,2,3,4,5,6
35,6,NONE,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav
36,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE,NONE
37,2,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE
38,4,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE
39,5,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE
40,3,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE
41,6,NONE,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav
42,1,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE
43,5,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE
44,2,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE
45,1,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE
46,6,NONE,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav
47,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE,NONE
48,4,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE
